data,temperaturaMit,humitatMit,pressioMit,ventMit,ventGrausMit,plujaMaxIntensitat,plujaAvui,plujaMes,plujaAny,radSolarMax,temperaturaMax,temperaturaMin,humitatMax,humitatDataMax,humitatMin,humitatDataMin,pressioMax,pressioDataMax,pressioMin,pressioDataMin,ventMax,ventDirMax,temperaturaDataMax,temperaturaDataMin,ventDataMax,fuelMit,fuelMax,fuelMin,temperaturaSol10Mit,temperaturaSol10Max,temperaturaSol10Min,temperaturaSolM15Mit,temperaturaSolM15Max,temperaturaSolM15Min,ventDesviacioMit,ventDesviacioMax,ventDesviacioMin
2017-01-01 23:59:59,4.8,76.9,,,0.0,0.0,0.1,0.1,0.1,,12.8,1.0,90.7,,51.1,,,,,,17.3,,,,,,,,,,,,,,,,
2017-01-02 23:59:59,6.1,73.6,,,0.0,0.0,,0.1,0.1,,14.0,0.8,91.8,,44.0,,,,,,21.2,,,,,,,,,,,,,,,,
2017-01-03 23:59:59,5.9,70.8,,,0.0,0.0,,0.1,0.1,,11.9,1.8,84.9,,51.1,,,,,,19.4,,,,,,,,,,,,,,,,
2017-01-04 23:59:59,5.8,75.9,,,0.0,0.0,,0.1,0.1,,14.0,1.4,92.8,,44.8,,,,,,27.4,,,,,,,,,,,,,,,,
2017-01-05 23:59:59,4.1,71.1,,,0.0,0.0,,0.1,0.1,,10.3,0.2,91.1,,43.5,,,,,,16.2,,,,,,,,,,,,,,,,
2017-01-06 23:59:59,3.4,68.6,,,0.0,0.0,,0.1,0.1,,10.3,-1.4,85.2,,31.1,,,,,,18.7,,,,,,,,,,,,,,,,
2017-01-07 23:59:59,4.8,63.8,,,0.0,0.0,,0.1,0.1,,11.6,-0.3,77.8,,36.4,,,,,,20.2,,,,,,,,,,,,,,,,
2017-01-08 23:59:59,7.2,51.3,,,0.0,0.0,,0.1,0.1,,15.8,1.4,65.9,,27.1,,,,,,19.8,,,,,,,,,,,,,,,,
2017-01-09 23:59:59,5.3,66.4,,,0.0,0.0,,0.1,0.1,,13.2,1.1,81.6,,44.1,,,,,,27.7,,,,,,,,,,,,,,,,
2017-01-10 23:59:59,3.5,80.2,,,0.0,0.0,,0.1,0.1,,4.6,2.4,82.5,,77.4,,,,,,15.1,,,,,,,,,,,,,,,,
